Submission Date,Who was your coaching call with?,What did you work on in the coaching call?,Was the purpose of the call fulfilled? (Did the coach successfully help you with what you wanted?),Were all of your questions answered and clearly explained?,How was the coaches attitude on the call?,Rate your overall experience in the call,Do you have any ideas / recommendations that would help improve your experience?,Are there any improvements you'd like to see from the coaches?,utm_source,utm_campaign,utm_medium,utm_term,Submission ID,Week-Year,Avg,Streak
"2023 January 23, 12:10PM",Selena Markantonakis,Website Optimisation,5,5,5,5,Amazing!! Absolutely love Selena ? So helpful and just such a lovely person!! So happy she is on the 6fds team,Not at all,,,,,5576032922759546670,4-2023,5,
"2023 January 23, 7:02PM",Selena Markantonakis,"Website Optimisation
Ad Angle Review",5,5,5,5,,,,,,,5575962134215019216,4-2023,5,
"2023 January 24, 8:27AM",Joshua Fimmano,"Ad Angle Review
Ad Account Review",5,5,5,5,,,,,,,5575924333031059849,4-2023,5,
"2023 January 24, 8:54AM",Joshua Fimmano,Website Optimisation,4,5,4,4,Too little time. I had a lot of things to be done and 20 min was not enough. I suppose my solution would be to book another call soon.,Maybe they need longer time slots. Appeared tired and overworked probably.,,,,,5575919697614498018,4-2023,4.25,
"2023 January 24, 11:29AM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5575892338854339063,4-2023,5,
"2023 January 24, 2:02PM",Joshua Fimmano,Product Research,5,4,4,4,,,,,,,5575209094915917985,4-2023,4.25,
"2023 January 24, 4:38PM",Selena Markantonakis,Product Research,5,5,5,5,"Selena is freaking soo good & has such a good approach , super friendly manner thabks v much",Nope,,,,,5575080570527110125,4-2023,5,
"2023 January 24, 7:09PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5575054040719544894,4-2023,5,
"2023 January 24, 11:32PM",Selena Markantonakis,Website Optimisation,5,5,5,5,,,,,,,5575029510597339659,4-2023,5,
"2023 January 25, 9:01AM",Selena Markantonakis,Ad Angle Review,5,5,5,5,,,,,,,5574508774525223796,4-2023,5,
"2023 January 25, 11:29AM",Joshua Fimmano,Product Research,3,3,3,3,"Perhaps there should be a set agenda for us to know what to expect from a Product Research coaching call. That way, all expectations are met from both parties.","Dial in on time, and proceed with the process in a steady pace as the scheduled time allocated. Not rush it all. I didn't get an understanding of why all the products that was not selected, was not even mentioned or discussed to reasons why it wasn't selected? I had spent hours and hours to get them on the list so the least that can be done is to provide some insight. The top product that was chosen, I only have one supplier for it, and this could impact it from being the top product of my niche. I forgot to mention this, as it was a rushed call.",,,,,5574228061342866884,4-2023,3,
"2023 January 25, 1:02PM",Selena Markantonakis,Product Research,5,5,5,5,"It was a good meeting. Everything is covered , no rush.","They are doing really great and I can suggest anything to improve at this stage. 
Thanks guys",,,,,5574201354111434929,4-2023,5,
"2023 January 25, 2:28PM",Selena Markantonakis,Product Research,5,5,5,5,,,,,,,5572960312456615565,4-2023,5,
"2023 January 25, 3:23PM",Selena Markantonakis,Website Optimisation,5,4,5,5,"Selena is a great coach. No complaints at all. She's wonderful :) However, the call felt too short. I prepared a list of questions and have been waiting for long to get a call. Hoping that it would have been answered. But, unfortunately it felt too rushed. 

Maybe while a person is booking a call - provide options for time duration. Maybe some want a quick call or maybe someone wants a long call. It helps optimize and make the most of the coaches time?",Nope. Coaches are great. Friendly and kind :),,,,,5572806370216144784,4-2023,4.75,
"2023 January 26, 11:54AM",Joshua Fimmano,Ad Angle Review,5,5,5,5,,,,,,,5572755475237160934,4-2023,5,
"2023 January 26, 3:41PM",Joshua Fimmano,Website Optimisation,5,5,5,5,It was good :),"No, Josh was to the point :)",,,,,5572631319013413519,4-2023,5,
"2023 January 26, 7:04PM",Joshua Fimmano,Website Optimisation,5,5,5,5,,,,,,,5572523189789795398,4-2023,5,
"2023 January 27, 10:46AM",Joshua Fimmano,Website Optimisation,5,5,5,5,Coaching call was with Nick! Absolute beast. Explained everything in detail. Super nice and funny.,,,,,,5572437445223488688,4-2023,5,
"2023 January 27, 11:31AM",Joshua Fimmano,Product Research,5,5,5,5,"I had Nick Mitris and he was a down to Earth, leveled guy.
Can praise him enough for his knowledge and wisdom.",,,,,,5572428725132455825,4-2023,5,
"2023 January 27, 11:41AM",Joshua Fimmano,Product Research,5,5,5,5,No all went well,No,,,,,5571908071415681615,4-2023,5,
"2023 January 27, 11:47AM",Joshua Fimmano,Product Research,5,5,5,5,No it was clear and precise,No,,,,,5571720443026329071,4-2023,5,
"2023 January 27, 12:51PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5571681207123725982,4-2023,5,
"2023 January 27, 2:49PM",Joshua Fimmano,Product Research,5,5,5,5,"It was a great call after a long time, Joshua is an expert in his field. I really appreciate his work that he had done before the call.",Thankful of them.,,,,,5571628846314068772,4-2023,5,
"2023 January 28, 8:34AM",Joshua Fimmano,Product Research,5,5,5,5,"Coaching was with Nick Mitris, very helpful during the call",,,,,,5571371016916391984,4-2023,5,
"2023 January 28, 10:02AM",Joshua Fimmano,Product Research,5,5,5,5,,"No improvements.

Just to say Josh was awesome, already had my products picked out for me before the call even began, time to get stuck in about it",,,,,5571055818557295419,4-2023,5,
"2023 January 28, 10:42AM",Joshua Fimmano,"Website Optimisation
Ad Account Review",5,5,5,5,,,,,,,5570960715953676749,4-2023,5,
"2023 January 28, 12:24PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5570173274112819519,4-2023,5,
"2023 January 28, 12:57PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5569984830527669233,4-2023,5,
"2023 January 28, 2:30PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5569913169115426769,4-2023,5,
"2023 January 29, 9:56AM",Selena Markantonakis,Product Research,5,5,5,5,"No, The call was brief, to the point and efficient :)","No, really happy with the first meeting re: product research. The coach was very helpful, clear and knowledgeable.",,,,,5569858646518827278,5-2023,5,
"2023 January 29, 10:01AM",Selena Markantonakis,Product Research,5,5,5,5,,"Selena is super nice and encouraging 
I feel motivated to do my best after talking with her today",,,,,5569377279414838871,5-2023,5,
"2023 January 29, 3:56PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5565738163328556322,5-2023,5,
"2023 January 30, 10:50AM",Selena Markantonakis,"Website Optimisation
Ad Angle Review
Ad Account Review",5,5,5,5,,,,,,,5565628098429252845,5-2023,5,
"2023 January 31, 2:36PM",Joshua Fimmano,Product Research,4,5,5,5,,,,,,,5565588694916936825,5-2023,4.75,
"2023 January 31, 3:59PM",Joshua Fimmano,Ad Account Review,5,5,4,5,,,,,,,5565523420012070704,5-2023,4.75,
"2023 February 2, 8:22AM",Joshua Fimmano,Ad Angle Review,5,5,5,5,Na,Na,,,,,5564898966617095042,5-2023,5,
"2023 February 2, 1:41PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5564703189622017098,5-2023,5,
"2023 February 3, 8:41AM",Joshua Fimmano,Ad Account Review,5,5,5,5,,,,,,,5564207056014464837,5-2023,5,
"2023 February 3, 11:47AM",Joshua Fimmano,Website Optimisation,5,5,5,5,,,,,,,5564118671711076929,5-2023,5,
"2023 February 3, 9:11PM",Joshua Fimmano,Product Research,1,1,1,1,"I am very disappointed. I have been doing product research for months now and Joshua decided which products out of 25 are viable in a 18 minute phone call. He too less then half a second to make decision in each product. Also he didn't even go to the entire product list. This is utterly disturbing and disappointing for me. Throughout the call I had not opportunity to discuss the viability of each of my products on the spreadsheet. I could tell
that Joshua didn't  even looked at my product spreadsheet before the zoom call. He has page 2 of the spreadsheet open (without realising there are another 15 product on page 1 of the spreadsheet) during the call and just randomly opening the product research links and decided whether it's a viable product or not in a split second.

 It seemed to me that Joshua had no interest in helping me to set up a successful e-commerce store like what  6fds claims. Above all I paid 6fds for a service and 6fds have failed to deliver it. I spent months on product research and you guys make a decision on whether a product is viable or not in less then half a second. I maybe new to e-commerce business but I have been working in the legal department for years and I know how things work. This whole claim of a successful e-commerce store program seem to me a hoax. I have no faith in you guys anymore. 

 I have paid a fee to 6fds for a service which 6fds have failed to delivered. As a customer I'm not satisfied with your service and I want my money ($3000) back. 

Before I approach third parties I would appreciate if you refund the fee that I paid for your disappointing service. 

I have not interest in remaining anonymous. My name is Moi Barthakur. I had a product research meeting with Joshua on 3 February at 10.10 am Melb time.","Improve customer service. 
discuss product research.",,,,,5563992503022288716,5-2023,1,
"2023 February 4, 6:20AM",Joshua Fimmano,Website Optimisation,1,3,2,3,,,,,,,5563967523644647066,5-2023,2.25,
"2023 February 4, 7:14AM",Joshua Fimmano,Product Research,5,5,5,5,no it was really helpful and my coach was Nick,no,,,,,5563903488514839737,5-2023,5,
"2023 February 4, 9:03AM",Joshua Fimmano,Website Optimisation,5,5,5,5,Joshua is very knowledgeable and very humble. I like that.,Maybe if coaching calls will be a bit longer. like 30 minutes instead of 20.,,,,,5563156113811768604,5-2023,5,
"2023 February 4, 11:04AM",Joshua Fimmano,Ad Account Review,5,5,5,5,N/A - Josh was awesome as always!,,,,,,5563115673317283409,5-2023,5,
"2023 February 5, 7:19AM",Joshua Fimmano,Product Research,4,4,4,4,,,,,,,5563105362015878655,6-2023,4,
"2023 February 5, 9:01AM",Selena Markantonakis,Product Research,5,5,5,5,"I couldn't fault Selena at all, very pleasant to engage with. Very knowledgeable and responded promptly to my questions with easy to understand guides. I look forward to my next coaching call with her.","No improvements needed, quick precise calls ?? perfect to get the job done.",,,,,5563105052016418260,6-2023,5,
"2023 February 5, 1:03PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5563051292027331831,6-2023,5,
"2023 February 6, 9:02AM",Selena Markantonakis,Website Optimisation,5,5,5,5,,,,,,,5563050872021468683,6-2023,5,
"2023 February 6, 9:20AM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5562974498418123235,6-2023,5,
"2023 February 6, 9:54AM",Joshua Fimmano,Product Research,4,4,3,5,,,,,,,5562955720211269238,6-2023,4,
"2023 February 6, 10:29AM",Joshua Fimmano,Website Optimisation,5,5,5,5,,,,,,,5562022719614240351,6-2023,5,
"2023 February 6, 10:57AM",Selena Markantonakis,Website Optimisation,5,5,5,5,,,,,,,5561880705817964295,6-2023,5,
"2023 February 6, 12:11PM",Selena Markantonakis,Website Optimisation,5,5,5,5,,,,,,,5561541131819726644,6-2023,5,
"2023 February 6, 6:21PM",Joshua Fimmano,Ad Angle Review,5,4,5,5,,,,,,,5561415637713627154,6-2023,4.75,
"2023 February 7, 9:19AM",Selena Markantonakis,"Product Research
Website Optimisation
Ad Angle Review
Ad Account Review",5,5,5,5,,,,,,,5561013867632506988,6-2023,5,
"2023 February 7, 10:51AM",Joshua Fimmano,Website Optimisation,5,5,5,5,,,,,,,5560521660321336129,6-2023,5,
"2023 February 7, 2:42PM",Selena Markantonakis,Ad Account Review,5,5,5,5,,,,,,,5560464460541393425,6-2023,5,
"2023 February 7, 5:19PM",Selena Markantonakis,Product Research,5,5,5,5,Selena was so easy to talk to! She's really helpful and encouraging.,,,,,,5560447603035545166,6-2023,5,
"2023 February 7, 5:54PM",Selena Markantonakis,"Product Research
Ad Account Review",5,5,5,5,,,,,,,5560356370415831487,6-2023,5,
"2023 February 8, 8:32AM",Joshua Fimmano,"Website Optimisation
Ad Account Review",5,5,5,5,"You guys forgot to add Nick on the feedback list haha, super helpful",,,,,,5560330139615940040,6-2023,5,
"2023 February 8, 8:59AM",Selena Markantonakis,"Product Research
Website Optimisation
Ad Angle Review
Ad Account Review",5,5,5,5,,,,,,,5560329054327423847,6-2023,5,
"2023 February 8, 1:16PM",Selena Markantonakis,Product Research,5,5,5,5,,The coach was Nick Mitris although it wasn't listed as an option,,,,,5559727967424767443,6-2023,5,
"2023 February 9, 6:39AM",Selena Markantonakis,Website Optimisation,5,5,5,5,Lovely and helpful as always!,,,,,,5559673809819745827,6-2023,5,
"2023 February 9, 3:55PM",Joshua Fimmano,Product Research,5,5,5,5,"I Give josh 10/10, very good at landing jokes.",NO improvements needed 10/10 chad alpha male,,,,,5559646208738865391,6-2023,5,
"2023 February 10, 7:45AM",Joshua Fimmano,Ad Account Review,5,5,5,5,,,,,,,5559634598659499208,6-2023,5,
"2023 February 10, 11:06AM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5559600874798538122,6-2023,5,
"2023 February 10, 11:30AM",Joshua Fimmano,Website Optimisation,5,5,5,5,,,,,,,5559455712117273462,6-2023,5,
"2023 February 10, 7:26PM",Joshua Fimmano,Website Optimisation,5,5,5,5,"I think 
These calls must be half hour and follow a pattern like 
1. Look at all colours 
2. Look at content 
3. Look at all images for all products 
4. Look at gifs 
5. Look at Pages 
6. Look at all buttons 
Etc 
There must also be a functionality test",Coaches are absolutely top notch ... love it,,,,,5558608996744096708,6-2023,5,
"2023 February 11, 12:18PM",Joshua Fimmano,"Website Optimisation
Ad Angle Review",5,5,5,5,,,,,,,5557925723661490932,6-2023,5,
"2023 February 11, 3:17PM",Joshua Fimmano,Website Optimisation,5,5,5,5,everything i needed clarification and viewing on was done by Josh.  no issues at all.,nil at the moment,,,,,5557890941329090453,6-2023,5,
"2023 February 12, 10:00AM",Joshua Fimmano,"Website Optimisation
Ad Angle Review
Ad Account Review",5,5,5,5,,,,,,,5557856609218163493,7-2023,5,
"2023 February 12, 11:39AM",Joshua Fimmano,Ad Angle Review,5,5,5,5,"Al went well, Thanks Josh 
You're the best mate.",,,,,,5557728413516544047,7-2023,5,
"2023 February 12, 5:34PM",Joshua Fimmano,Product Research,3,3,3,3,"Wasn't able to discuss anything as my internet crashed 
Rebooked another time 
Disappointing with the internet issue as I really excited to find out if my 30 products are good or not",,,,,,5557715778429044139,7-2023,3,
"2023 February 14, 8:24AM",Selena Markantonakis,"Ad Angle Review
Ad Account Review",5,5,5,5,,,,,,,5557709675202309457,7-2023,5,
"2023 February 14, 9:01AM",Joshua Fimmano,Website Optimisation,5,5,5,5,,,,,,,5556891646866792934,7-2023,5,
"2023 February 14, 10:21AM",Joshua Fimmano,Website Optimisation,5,5,5,5,"Nope! Both of my coaching calls so far (one with Selena, other with Josh) have been efficient but thorough. My recent call with Josh has given me a lot of confidence that I’m on the right track.",N/A,,,,,5556233644919261778,7-2023,5,
"2023 February 14, 11:19AM",Selena Markantonakis,Product Research,5,5,5,5,"Could have been a bit longer considering it was my first coaching call and students are encouraged to reach out on the Facebook page for guidance and advice not through the coaching calls. So, a little more time to go through personal experience would have been better.",,,,,,5556127134225291573,7-2023,5,
"2023 February 14, 1:21PM",Joshua Fimmano,Website Optimisation,5,5,5,5,,,,,,,5556043166225545540,7-2023,5,
"2023 February 14, 4:58PM",Selena Markantonakis,Website Optimisation,5,5,5,5,Nothing to add everything went well,"No, Selena (and Josh) are both great :-)",,,,,5555192129245241490,7-2023,5,
"2023 February 14, 8:09PM",Joshua Fimmano,Ad Account Review,5,5,5,5,,,,,,,5554593636019054772,7-2023,5,
"2023 February 15, 1:23PM",Joshua Fimmano,Product Research,5,5,5,5,"My coaching call was actually with Nick Mitris but that wasn't an option in the first question. Otherwise, everything was great for my first coaching call. So far so good.",Nothing comes to mind. Thank you guys!,,,,,5554474779427074514,7-2023,5,
"2023 February 15, 5:15PM",Joshua Fimmano,Website Optimisation,4,4,4,4,,,,,,,5554289815942739486,7-2023,4,
"2023 February 16, 8:22AM",Joshua Fimmano,Website Optimisation,5,5,5,5,,,,,,,5554277731424243016,7-2023,5,
"2023 February 16, 11:08AM",Joshua Fimmano,Ad Account Review,5,5,5,5,I just really needed help from a coach to steer me in the right direction and cheer me on... Josh was amazing as always! Motivated to keep going!,,,,,,5554263285214867657,7-2023,5,
"2023 February 16, 11:24AM",Joshua Fimmano,Ad Account Review,5,5,5,5,great job thank you,,,,,,5554258753516785592,7-2023,5,
"2023 February 16, 11:29AM",Joshua Fimmano,Website Optimisation,5,5,5,5,,,,,,,5553711377223244565,7-2023,5,
"2023 February 16, 2:10PM",Joshua Fimmano,"Website Optimisation
Ad Angle Review
Ad Account Review",5,5,5,5,,,,,,,5553659043117695442,7-2023,5,
"2023 February 16, 3:56PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5553598516125928496,7-2023,5,
"2023 February 17, 12:16PM",Joshua Fimmano,Website Optimisation,5,5,5,5,"My call was with nick but there's no option for him.. can you please fix? he's really great, knowledgeable and friendly",,,,,,5553562548512898068,7-2023,5,
"2023 February 17, 2:09PM",Joshua Fimmano,Website Optimisation,5,5,5,5,None at all. My coaching calls have been good experiences.,None at all. Joshua is very helpful.,,,,,5553553933665933094,7-2023,5,
"2023 February 17, 4:59PM",Joshua Fimmano,Product Research,5,5,5,5,Call windows were a bit short (20 mins) which made it seems rushed,N/A,,,,,5553545202544803830,7-2023,5,
